CMDLINE python extractor.py --root_name test --root_dir 'C:\Users\dmollberg\OneDrive - Deloitte (O365D)\Aime\CC_BY\bylgjan\2004\test'
MEM 1.652344 1563535487.4406
MEM 10.210938 1563535487.5413
MEM 15.097656 1563535487.6414
MEM 19.441406 1563535487.7414
MEM 27.699219 1563535487.8424
MEM 30.726562 1563535487.9425
MEM 106.281250 1563535488.0435
MEM 185.031250 1563535488.1436
MEM 188.292969 1563535488.2446
MEM 193.308594 1563535488.3457
MEM 198.554688 1563535488.4466
MEM 203.492188 1563535488.5477
MEM 205.980469 1563535488.6482
MEM 206.468750 1563535488.7483
MEM 207.695312 1563535488.8493
MEM 211.941406 1563535488.9493
MEM 216.250000 1563535489.0500
MEM 217.046875 1563535489.1501
MEM 219.003906 1563535489.2501
MEM 220.128906 1563535489.3510
MEM 221.855469 1563535489.4511
MEM 223.640625 1563535489.5512
MEM 217.214844 1563535489.6512
MEM 215.648438 1563535489.7513
MEM 217.203125 1563535489.8514
MEM 215.859375 1563535489.9516
MEM 217.167969 1563535490.0518
MEM 218.027344 1563535490.1521
MEM 218.890625 1563535490.2531
MEM 220.695312 1563535490.3532
MEM 221.906250 1563535490.4534
MEM 216.964844 1563535490.5536
MEM 218.066406 1563535490.6542
MEM 216.593750 1563535490.7545
MEM 218.855469 1563535490.8552
MEM 218.246094 1563535490.9553
MEM 220.164062 1563535491.0555
MEM 216.226562 1563535491.1563
MEM 221.023438 1563535491.2573
MEM 223.261719 1563535491.3574
MEM 223.933594 1563535491.4574
MEM 225.777344 1563535491.5583
MEM 228.261719 1563535491.6585
MEM 229.570312 1563535491.7585
MEM 230.972656 1563535491.8595
MEM 232.343750 1563535491.9599
MEM 233.757812 1563535492.0599
MEM 235.281250 1563535492.1600
MEM 237.097656 1563535492.2605
MEM 238.886719 1563535492.3612
MEM 239.460938 1563535492.4613
MEM 240.074219 1563535492.5613
MEM 241.195312 1563535492.6616
MEM 241.835938 1563535492.7617
MEM 242.730469 1563535492.8627
MEM 244.199219 1563535492.9630
MEM 245.640625 1563535493.0639
MEM 246.828125 1563535493.1641
MEM 248.210938 1563535493.2641
MEM 249.105469 1563535493.3643
MEM 250.359375 1563535493.4643
MEM 251.320312 1563535493.5652
MEM 252.281250 1563535493.6653
MEM 253.468750 1563535493.7659
MEM 254.937500 1563535493.8669
MEM 229.890625 1563535493.9670
MEM 232.785156 1563535494.0670
MEM 236.003906 1563535494.1680
MEM 238.941406 1563535494.2680
MEM 242.863281 1563535494.3690
MEM 229.566406 1563535494.4700
MEM 231.242188 1563535494.5710
MEM 229.992188 1563535494.6710
MEM 232.320312 1563535494.7711
